RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KKW F;;KKW S-4-KKERP;KKW S-4-KKERP
KKERP;KKW F-6-KKERG;;
KKERG;KKERP-6-KHR;;
K019L;KKERP-KHR;;
KLOV;KKERP-1-KHR;;
K025L;KKERP-KHR;;
K024L;KKERG-KHR;;
K027H;KKERP-KHR;;
K026L;KKERP-KHR;;
K028L;KKERP-KHR;;
K029H;KKERP-KHR;;
K030L;KKERG-KHR;;
KHR;KKERP(2600)-5-KDN P(2600);;
K049S;KHR-KDN P;;
K062H;KHR-KDN P;;
KSID;KHR-KDN P;;
K064H;KHR-KDN P;;
K065D;KHR-KDN P;;
K066H;KHR-KDN P;;
KDOS;KHR-KDN P;;
K071L;KHR-KDN P;;
K070H;KHR-KDN P;;
K073L;KHR-KDN P;;
K072H;KHR-KDN P;;
K075L;KHR-KDN P;;
K076H;KHR-KDN P;;
K077L;KHR-KDN P;;
K078H;KHR-KDN P;;
KDN G;KHR-201-KDN P;;
KDN P;KHR(2600)-1-KST G;;
K085L;KDN P-KST G;;
K084D;KDN P-KST G;;
K087L;KDN P-KST G;;
KHUB;KDN P-KST G;;
K093L;KDN P-KST G;;
K094D;KDN P-KST G;;
K097L;KDN P-KST G;;
K098D;KDN P-KST G;;
K101L;KDN P-KST G;;
K100D;KDN P-KST G;;
KLAW;KDN P-3-KST G;;
K107N;KDN P-KST G;;
K109N;KDN P-KST G;;
K106L;KDN P-KST G;;
K108L;KDN P-KST G;;
K113N;KDN P-KST G;;
K110N;KDN P-KST G;;
K115E;KDN P-KST G;;
KE;KDN P-2-KST G;;
KST G;KDN P-001-KA lg;;
KST P;KDN P-041-KA lg;;
K 907;KST P-KA;;
K 954;KST P-KA;;
K 909;KST P-KA;;
K 952;KST P-KA;;
K912;KST P-KA;;
K 911;KST P-KA;;
K972S;KST P-KA;;
KEIL;KST P-KA;;
K 950;KST P-KA;;
K2913;KEIL-KAREG;;
K2948;KST P-KA;;
KAREG;KST P-11-KA;;
KAREP;KAREG-1-KA(2600);;
KA;KAREP(2600)-4/24-KAW;;
K0401;KA-KRY G;;
KASZ;KA-KRY G;;
E002A;KA-KRY G;;
KAW P;;KA-13-KRY G;KA-13-KRY G
