RIL100 ; DurchfahrtFahrweg ; AnkunftFahrweg ; AbfahrtFahrweg
KG  H;;KG C-324-KGS;KG C-324-KGS
KGS;KG H-KT;;
KPR;KGS-6-KT;;
K0955;KPR-KT;;
K0950;KPR-KT;;
K0959;KPR-KT;;
K0954;KPR-KT;;
K0963;KPR-KT;;
K0958;KPR-KT;;
K8131;KPR-KT;;
K8132;KPR-KT;;
KT  V;KPR-31-KFWH;;
KT;KPR-8-KQHB;;
KFWH;KT-41-KKOW;;
KMD;KT-302-KKOW;;
K 133;KT-KKOW;;
K 134;KT-KKOW;;
K 135;KT-KKOW;;
K 137;KT-KKKOW;;
K136B;KT-KKOW;;
KBB;KT-1-KKOW;;
K 139;KT-KKOW;;
K138B;KT-KKOW;;
KBO;KT-202-KKWO;;
KND;KT-2-KKOW;;
KKOW;KT-1-KHBD;;
KRHD;KT-2-KQHB;;
KHBD;KT-2-KNE;;
KQHB;KHBD-YDFHU;;
YDFHU;KT-KNE;;
K013A;KHBD-KUN;;
K014A;KHBD-KUN;;
KUN;KHBD-1-KLI;;
K015E;KUN-KLI;;
K016D;KUN-KLI;;
K017A;KUN-KLI;;
K018A;KUN-KLI;;
KERP;KUN-KLI;;
K019B;KUN-KLI;;
K020B;KUN-KLI;;
KLI;KUN-1-KHGB;;
K117C;KLI-KHGB;;
K118C;KLI-KHGB;;
K119A;KLI-KHGB;;
KLEU;KLI-KHGB;;
K120A;KLI-KHGB;;
K021D;KLI-KHGB;;
K022F;KLI-KHGB;;
K023E;KLI-KHGB;;
K024D;KLI-KHGB;;
KHGB;KLI-1-KRBR;;
KRBR;KHGB-2-KLET;;
K025D;KRBR-KLET;;
K026E;KRBR-KLET;;
K027F;KRBR-KLET;;
K028F;KRBR:KLET;;
K029E;KRBR-KLET;;
K030G;KRBR-KLET;;
K031F;KRBR-KLET;;
K032F;KRBR-KLET;;
KLET;KRBR-1-KNE;;
K429B;KLET-KNE;;
K430A;KLET-KNE;;
K431A;KLET-KNE;;
K432A;KLET-KNE;;
K433A;KLET-KNE;;
K434A;KLET-KNE;;
KNE;KLET-001-KEN_G;;
KNE G;KNE-071S/H1-KENR;;
K136D;KNE_G-KENR;;
K138A;KNE_G-KENR;;
K135C;KNE_G-KENR;;
KENR;KNE_G-502-KBEN;;
KBEN;KENR-602-KVA;;
KVA;KBEN-2-KKOE;;
K039A;KVA-KKOE;;
K040A;KVA-KKOE;;
KKOE;KBEN-2-KPFD;;
KPFD;KKOE-KNL;;
YFFNL;KPFD-KNL_N;;
K044B;KPFD-KNL_N;;
KNL N;KKOE-8-KNL;;
KNL;KNL_N-8-KOL-D2;;
KOL;KNL-2-KOL_G;;
KOL G;KOL-2-FKMP-D;;
K206A;KOL_G-FKMP;;
K105A;KOL_G-FKMP;;
KBRB;KOL_G-2-FKMP;;
K204A;KOL_G-FKMP;;
K103A;KOL_G-FKMP;;
K202A;KOL_G-FKMP;;
K101A;KOL_G-FKMP;;
KOSS;KOL_G-1-FKMP;;
K212A;KOL_G-FKMP;;
K111A;KOL_G-FKMP;;
FFI;KOL_G-2-FKMP;;
F210B;KOL_G-FKMP;;
F109B;KOL_G-FKMP;;
FKMP;KOL_G-1-FLY;;
F206B;FKMP-FLY;;
F105C;FKMP-FLY;;
F204B;FKMP-FLY;;
F103B;FKMP-FLY;;
FKES;FKMP-1-FLY;;
F202C;FKMP-FLY;;
F101B;FKMP-FLY;;
F210A;FKMP-FLY;;
F111A;FKMP-FLY;;
F109A;FKMP-FLY;;
F208B;FKMP-FLY;;
FSGH;FKMP-1-FLY;;
F107A;FKMP-FLY;;
F206A;FKMP-FLY;;
F105B;FKMP-FLY;;
FLY;FKMP-1-FKAU;;
F202B;FLY-FKAU;;
F101A;FLY-FKAU;;
FKAU;FLY-2-FLOU-D1;;
FQLO;FKAU-2-FLOU;;
F105A;FKAU-FLOU;;
F204A;FKAU-FLOU;;
FLON;FKAU-1-FLOU;;
F103A;FKAU-FLOU;;
F202A;FKAU-FLOU;;
F101D;FKAU-FLOU;;
FLOR;FKAU-2-FLOU;;
F212A;FKAU-FLOU;;
F114A;FKAU-FLOU;;
FLOU;FKAU-2-FAH;;
F109C;FLOU-FAH;;
F208C;FLOU-FAH;;
F107C;FLOU-FAH;;
F206C;FLOU-FAH;;
FAH;FLOU-2-FRDH;;
F202G;FAH-FRDH;;
F103K;FAH-FRDH;;
FRDH;FAH-2-FOE;;
F054B;FRDH-FGSM;;
F055C;FRDH-FGSM;;
FGSM;FRDH-1-FOE;;
F043B;FGSM-FOE;;
FOE;FRDH-1-FHAT;;
FHAT;FOE-1-FELT;;
F042B;FHAT-FELT;;
F041B;FHAT-FELT;;
FERB;FHAT-1-FELT;;
FELT;FHAT-1-FELTO;;
FELTO;FELT-11-FWS;;
FNWF;FELTO-FWS;;
FWS;FELTO-1-FWB;;
FWB;FWS-701-FWB_A;;
FWB A;FWB-2-FWO_G;;
FWO G;FWB_A-412-FWO_B;;
FWO B;FWO_B-2-FMK;;
F182A;FWO_B-FMK;;
F176B;FWO_B-FMK;;
FA176;FWO_B-FMK;;
F179A;FWO_B-FMK;;
FMK;FWO_B-2-FKOS;;
F172B;FMK-FKOS;;
FA175;FMK-FKOS;;
F171B;FMK-FKOS;;
FKOS;FMK-FMB;;
FKOO;FMK-FMB;;
F718A;FKOS-FMB;;
F719A;FKOS-FMB;;
F720A;FKOS-FMB;;
FMB P;FKOS-007-010-FMB_W-3525;;
FMB W;FMB_P-010-FMB_M-3525-1;;
